gen_str,cif,model_name
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.1 6.4 8.7
90 90 90
Li
0.11 0.30 0.82
Li
0.11 0.80 0.56
Li
0.11 0.80 0.06
Li
0.11 0.30 0.32
P
0.61 0.99 0.82
P
0.61 0.48 0.56
P
0.61 0.48 0.06
P
0.61 0.99 0.32
O
0.61 0.49 0.79
O
0.61 0.99 0.75
O
0.61 0.49 0.25
O
0.61 0.99 0.29
O
0.61 0.49 0.50
O
0.61 0.99 0.50
O
0.61 0.99 0.00
O
0.61 0.49 0.00","# generated using pymatgen
data_LiPO2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.10000000
_cell_length_b   6.40000000
_cell_length_c   8.70000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LiPO2
_chemical_formula_sum   'Li4 P4 O8'
_cell_volume   228.28800000
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Li  Li0  1  0.11000000  0.30000000  0.82000000  1
  Li  Li1  1  0.11000000  0.80000000  0.56000000  1
  Li  Li2  1  0.11000000  0.80000000  0.06000000  1
  Li  Li3  1  0.11000000  0.30000000  0.32000000  1
  P  P4  1  0.61000000  0.99000000  0.82000000  1
  P  P5  1  0.61000000  0.48000000  0.56000000  1
  P  P6  1  0.61000000  0.48000000  0.06000000  1
  P  P7  1  0.61000000  0.99000000  0.32000000  1
  O  O8  1  0.61000000  0.49000000  0.79000000  1
  O  O9  1  0.61000000  0.99000000  0.75000000  1
  O  O10  1  0.61000000  0.49000000  0.25000000  1
  O  O11  1  0.61000000  0.99000000  0.29000000  1
  O  O12  1  0.61000000  0.49000000  0.50000000  1
  O  O13  1  0.61000000  0.99000000  0.50000000  1
  O  O14  1  0.61000000  0.99000000  0.00000000  1
  O  O15  1  0.61000000  0.49000000  0.00000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
5.1 5.1 7.1
90 90 120
In
0.24 0.42 0.20
In
0.92 0.75 0.71
In
0.92 0.75 0.38
In
0.24 0.42 0.88
H
0.57 0.09 0.99
H
0.57 0.09 0.48
H
0.29 0.47 0.99
H
0.29 0.47 0.48
H
0.57 0.09 0.24
H
0.57 0.09 0.78
H
0.29 0.47 0.24
H
0.29 0.47 0.78","# generated using pymatgen
data_InH2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10000000
_cell_length_b   5.10000000
_cell_length_c   7.10000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   InH2
_chemical_formula_sum   'In4 H8'
_cell_volume   159.92977734
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.24000000  0.42000000  0.20000000  1
  In  In1  1  0.92000000  0.75000000  0.71000000  1
  In  In2  1  0.92000000  0.75000000  0.38000000  1
  In  In3  1  0.24000000  0.42000000  0.88000000  1
  H  H4  1  0.57000000  0.09000000  0.99000000  1
  H  H5  1  0.57000000  0.09000000  0.48000000  1
  H  H6  1  0.29000000  0.47000000  0.99000000  1
  H  H7  1  0.29000000  0.47000000  0.48000000  1
  H  H8  1  0.57000000  0.09000000  0.24000000  1
  H  H9  1  0.57000000  0.09000000  0.78000000  1
  H  H10  1  0.29000000  0.47000000  0.24000000  1
  H  H11  1  0.29000000  0.47000000  0.78000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
5.1 5.1 5.1
59 59 59
Pr
0.98 0.67 0.25
Bi
0.48 0.17 0.75
Pd
0.73 0.42 0.00
Pd
0.23 0.92 0.50","# generated using pymatgen
data_PrBiPd2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.10000000
_cell_length_b   5.10000000
_cell_length_c   5.10000000
_cell_angle_alpha   59.00000000
_cell_angle_beta   59.00000000
_cell_angle_gamma   59.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   PrBiPd2
_chemical_formula_sum   'Pr1 Bi1 Pd2'
_cell_volume   91.65883559
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pr  Pr0  1  0.98000000  0.67000000  0.25000000  1
  Bi  Bi1  1  0.48000000  0.17000000  0.75000000  1
  Pd  Pd2  1  0.73000000  0.42000000  0.00000000  1
  Pd  Pd3  1  0.23000000  0.92000000  0.50000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
7.2 7.2 7.2
59 59 59
Cs
0.79 0.59 0.85
Cs
0.29 0.09 0.35
Sb
0.54 0.34 0.60
Sb
0.04 0.84 0.10
O
0.79 0.59 0.35
O
0.29 0.09 0.85
O
0.79 0.09 0.85
O
0.29 0.59 0.35
O
0.29 0.59 0.85
O
0.79 0.09 0.35","# generated using pymatgen
data_CsSbO3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   7.20000000
_cell_length_b   7.20000000
_cell_length_c   7.20000000
_cell_angle_alpha   59.00000000
_cell_angle_beta   59.00000000
_cell_angle_gamma   59.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsSbO3
_chemical_formula_sum   'Cs2 Sb2 O6'
_cell_volume   257.90591149
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Cs  Cs0  1  0.79000000  0.59000000  0.85000000  1
  Cs  Cs1  1  0.29000000  0.09000000  0.35000000  1
  Sb  Sb2  1  0.54000000  0.34000000  0.60000000  1
  Sb  Sb3  1  0.04000000  0.84000000  0.10000000  1
  O  O4  1  0.79000000  0.59000000  0.35000000  1
  O  O5  1  0.29000000  0.09000000  0.85000000  1
  O  O6  1  0.79000000  0.09000000  0.85000000  1
  O  O7  1  0.29000000  0.59000000  0.35000000  1
  O  O8  1  0.29000000  0.59000000  0.85000000  1
  O  O9  1  0.79000000  0.09000000  0.35000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.6 5.6 7.7
90 90 90
Pb
0.81 0.58 0.07
Pb
0.31 0.08 0.07
Si
0.81 0.58 0.57
Si
0.31 0.08 0.57
O
0.31 0.75 0.28
O
0.81 0.25 0.28
O
0.31 0.33 0.93
O
0.81 0.83 0.93
O
0.31 0.98 0.61
O
0.81 0.48 0.61
O
0.31 0.20 0.37
O
0.81 0.70 0.37","# generated using pymatgen
data_SiPbO4
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.60000000
_cell_length_b   5.60000000
_cell_length_c   7.70000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   SiPbO4
_chemical_formula_sum   'Si2 Pb2 O8'
_cell_volume   198.35200000
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Pb  Pb0  1  0.81000000  0.58000000  0.07000000  1
  Pb  Pb1  1  0.31000000  0.08000000  0.07000000  1
  Si  Si2  1  0.81000000  0.58000000  0.57000000  1
  Si  Si3  1  0.31000000  0.08000000  0.57000000  1
  O  O4  1  0.31000000  0.75000000  0.28000000  1
  O  O5  1  0.81000000  0.25000000  0.28000000  1
  O  O6  1  0.31000000  0.33000000  0.93000000  1
  O  O7  1  0.81000000  0.83000000  0.93000000  1
  O  O8  1  0.31000000  0.98000000  0.61000000  1
  O  O9  1  0.81000000  0.48000000  0.61000000  1
  O  O10  1  0.31000000  0.20000000  0.37000000  1
  O  O11  1  0.81000000  0.70000000  0.37000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.4 3.4 9.1
90 90 90
Nd
0.25 0.71 0.55
Nd
0.25 0.71 0.03
Pd
0.75 0.21 0.79
Pd
0.75 0.21 0.29","# generated using pymatgen
data_NdPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.40000000
_cell_length_b   3.40000000
_cell_length_c   9.10000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NdPd
_chemical_formula_sum   'Nd2 Pd2'
_cell_volume   105.19600000
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Nd  Nd0  1  0.25000000  0.71000000  0.55000000  1
  Nd  Nd1  1  0.25000000  0.71000000  0.03000000  1
  Pd  Pd2  1  0.75000000  0.21000000  0.79000000  1
  Pd  Pd3  1  0.75000000  0.21000000  0.29000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.2 6.2 6.2
135 135 66
Eu
0.23 0.58 0.93
Eu
0.48 0.33 0.43
Cu
0.93 0.85 0.43
Cu
0.73 0.08 0.93","# generated using pymatgen
data_EuCu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.20000000
_cell_length_b   6.20000000
_cell_length_c   6.20000000
_cell_angle_alpha   135.00000000
_cell_angle_beta   135.00000000
_cell_angle_gamma   66.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   EuCu
_chemical_formula_sum   'Eu2 Cu2'
_cell_volume   117.07265861
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu0  1  0.23000000  0.58000000  0.93000000  1
  Eu  Eu1  1  0.48000000  0.33000000  0.43000000  1
  Cu  Cu2  1  0.93000000  0.85000000  0.43000000  1
  Cu  Cu3  1  0.73000000  0.08000000  0.93000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.1 6.8 6.8
90 90 90
Ho
0.35 0.20 0.55
Ho
0.35 0.70 0.05
In
0.85 0.70 0.55
In
0.85 0.20 0.05","# generated using pymatgen
data_HoIn
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.10000000
_cell_length_b   6.80000000
_cell_length_c   6.80000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   HoIn
_chemical_formula_sum   'Ho2 In2'
_cell_volume   143.34400000
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ho  Ho0  1  0.35000000  0.20000000  0.55000000  1
  Ho  Ho1  1  0.35000000  0.70000000  0.05000000  1
  In  In2  1  0.85000000  0.70000000  0.55000000  1
  In  In3  1  0.85000000  0.20000000  0.05000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
5.4 5.4 5.4
128 128 75
Ce
0.19 0.98 0.41
In
0.70 0.48 0.91
Si
0.95 0.73 0.41
Si
0.45 0.23 0.91","# generated using pymatgen
data_CeInSi2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.40000000
_cell_length_b   5.40000000
_cell_length_c   5.40000000
_cell_angle_alpha   128.00000000
_cell_angle_beta   128.00000000
_cell_angle_gamma   75.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CeInSi2
_chemical_formula_sum   'Ce1 In1 Si2'
_cell_volume   95.92900847
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ce  Ce0  1  0.19000000  0.98000000  0.41000000  1
  In  In1  1  0.70000000  0.48000000  0.91000000  1
  Si  Si2  1  0.95000000  0.73000000  0.41000000  1
  Si  Si3  1  0.45000000  0.23000000  0.91000000  1
",1B
"Below is a description of a bulk material. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.0 4.0 8.4
90 90 119
Eu
0.27 0.66 0.33
Eu
0.27 0.66 0.84
H
0.54 0.33 0.51
H
0.91 0.95 0.03
H
0.91 0.95 0.55
H
0.54 0.33 0.01","# generated using pymatgen
data_EuH2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.00000000
_cell_length_b   4.00000000
_cell_length_c   8.40000000
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   119.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   EuH2
_chemical_formula_sum   'Eu2 H4'
_cell_volume   117.54888864
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Eu  Eu0  1  0.27000000  0.66000000  0.33000000  1
  Eu  Eu1  1  0.27000000  0.66000000  0.84000000  1
  H  H2  1  0.54000000  0.33000000  0.51000000  1
  H  H3  1  0.91000000  0.95000000  0.03000000  1
  H  H4  1  0.91000000  0.95000000  0.55000000  1
  H  H5  1  0.54000000  0.33000000  0.01000000  1
",1B
